2025-11-19 15:55:37,812 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - World Bank & GFDRR Climate Adaptation Metadata Collection
2025-11-19 15:55:37,813 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - Fetching ICR document metadata (limit: 200)...
2025-11-19 15:56:54,423 - INFO - Fetched 1 ICR document metadata records (offset: 5600, total: 113)
2025-11-19 15:56:55,167 - INFO - Fetched 1 ICR document metadata records (offset: 5650, total: 114)
2025-11-19 15:56:55,840 - INFO - Fetched 1 ICR document metadata records (offset: 5700, total: 115)
2025-11-19 15:56:56,539 - INFO - Fetched 1 ICR document metadata records (offset: 5750, total: 116)
2025-11-19 15:56:57,235 - INFO - Fetched 1 ICR document metadata records (offset: 5800, total: 117)
2025-11-19 15:56:57,860 - INFO - Fetched 1 ICR document metadata records (offset: 5850, total: 118)
2025-11-19 15:56:58,536 - INFO - Fetched 1 ICR document metadata records (offset: 5900, total: 119)
2025-11-19 15:56:59,169 - INFO - Fetched 1 ICR document metadata records (offset: 5950, total: 120)
2025-11-19 15:56:59,883 - INFO - Fetched 1 ICR document metadata records (offset: 6000, total: 121)
2025-11-19 15:57:00,557 - INFO - Fetched 1 ICR document metadata records (offset: 6050, total: 122)
2025-11-19 15:57:01,238 - INFO - Fetched 1 ICR document metadata records (offset: 6100, total: 123)
2025-11-19 15:57:01,900 - INFO - Fetched 1 ICR document metadata records (offset: 6150, total: 124)
2025-11-19 15:57:02,557 - INFO - Fetched 1 ICR document metadata records (offset: 6200, total: 125)
2025-11-19 15:57:03,373 - INFO - Fetched 1 ICR document metadata records (offset: 6250, total: 126)
2025-11-19 15:57:04,017 - INFO - Fetched 1 ICR document metadata records (offset: 6300, total: 127)
2025-11-19 15:57:04,703 - INFO - Fetched 1 ICR document metadata records (offset: 6350, total: 128)
2025-11-19 15:57:05,351 - INFO - Fetched 1 ICR document metadata records (offset: 6400, total: 129)
2025-11-19 15:57:06,041 - INFO - Fetched 1 ICR document metadata records (offset: 6450, total: 130)
2025-11-19 15:57:06,686 - INFO - Fetched 1 ICR document metadata records (offset: 6500, total: 131)
2025-11-19 15:57:07,331 - INFO - Fetched 1 ICR document metadata records (offset: 6550, total: 132)
2025-11-19 15:57:08,134 - INFO - Fetched 1 ICR document metadata records (offset: 6600, total: 133)
2025-11-19 15:57:08,798 - INFO - Fetched 1 ICR document metadata records (offset: 6650, total: 134)
2025-11-19 15:57:09,495 - INFO - Fetched 1 ICR document metadata records (offset: 6700, total: 135)
2025-11-19 15:57:10,203 - INFO - Fetched 1 ICR document metadata records (offset: 6750, total: 136)
2025-11-19 15:57:10,901 - INFO - Fetched 1 ICR document metadata records (offset: 6800, total: 137)
2025-11-19 15:57:11,604 - INFO - Fetched 1 ICR document metadata records (offset: 6850, total: 138)
2025-11-19 15:57:12,229 - INFO - Fetched 1 ICR document metadata records (offset: 6900, total: 139)
